"Book","Aurthor"
"Dune (Dune, #1)","Frank Herbert"
"Ender's Game (Ender's Saga, #1)","Orson Scott Card"
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","Douglas Adams"
"The Martian (Hardcover)","Andy Weir"
"Ready Player One (Ready Player One, #1)","Ernest Cline"
"Fahrenheit 451 (Kindle Edition)","Ray Bradbury"
"1984 (Paperback)","George Orwell"
"The Hunger Games (The Hunger Games, #1)","Suzanne Collins"
"Brave New World (Paperback)","Aldous Huxley"
"Foundation (Foundation, #1)","Isaac Asimov"
"Do Androids Dream of Electric Sheep? (Kindle Edition)","Philip K. Dick"
"Catching Fire (The Hunger Games, #2)","Suzanne Collins"
"Mockingjay (The Hunger Games, #3)","Suzanne Collins"
"The Time Machine (Paperback)","H.G. Wells"
"Neuromancer (Sprawl, #1)","William Gibson"
"I, Robot (Robot, #0.1)","Isaac Asimov"
"Leviathan Wakes (The Expanse, #1)","James S.A. Corey"
"The Three-Body Problem (Remembrance of Earth’s Past, #1)","Liu Cixin"
"Jurassic Park (Jurassic Park, #1)","Michael Crichton"
"Divergent (Divergent, #1)","Veronica Roth"
"The Handmaid's Tale (The Handmaid's Tale, #1)","Margaret Atwood"
"2001: A Space Odyssey (Paperback)","Arthur C. Clarke"
"The War of the Worlds (Paperback)","H.G. Wells"
"Stranger in a Strange Land (Paperback)","Robert A. Heinlein"
"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)","Douglas Adams"
"Hyperion (Hyperion Cantos, #1)","Dan Simmons"
"Cinder (The Lunar Chronicles, #1)","Marissa Meyer"
"The Left Hand of Darkness (Hainish Cycle, #4)","Ursula K. Le Guin"
"The Martian Chronicles (Mass Market Paperback)","Ray Bradbury"
"All Systems Red (The Murderbot Diaries, #1)","Martha Wells"
"Slaughterhouse-Five (Paperback)","Kurt Vonnegut Jr."
"Speaker for the Dead (Ender's Saga, #2)","Orson Scott Card"
"Speaker for the Dead (Ender's Saga, #2)","Orson Scott Card"
"Snow Crash (Kindle Edition)","Neal Stephenson"
"Red Rising (Red Rising Saga, #1)","Pierce Brown"
"Frankenstein: The 1818 Text (Paperback)","Mary Wollstonecraft Shelley"
"Dune Messiah (Dune, #2)","Frank Herbert"
"The Giver (The Giver, #1)","Lois Lowry"
"Project Hail Mary (Hardcover)","Andy Weir"
"Foundation and Empire (Foundation #2)","Isaac Asimov"
"A Wrinkle in Time (Time Quintet, #1)","Madeleine L'Engle"
"The Long Way to a Small, Angry Planet (Wayfarers, #1)","Becky  Chambers"
"Second Foundation (Foundation #3)","Isaac Asimov"
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy, #3)","Douglas Adams"
"Starship Troopers (Mass Market Paperback)","Robert A. Heinlein"
"Artemis (Hardcover)","Andy Weir"
"The Maze Runner (The Maze Runner, #1)","James Dashner"
"The Forever War (The Forever War, #1)","Joe Haldeman"
"Annihilation (Paperback)","Jeff VanderMeer"
"Childhood's End (Mass Market Paperback)","Arthur C. Clarke"
"",""
"",""
